"Web of Science cites thru 2010",1.02228268899875,0.000990281115709719,-0.0107298736221641,-0.0130352718061539,-0.0484316157122375,-0.096793412152766
"Web of Science cites thru 2011",0.567362597910745,-0.0330386883914527,0.0935381020293144,-0.0106938446168104,0.0694371546899701,0.26814023470613
"Scopus cites",0.925935869192529,0.0460296261060186,-0.0333279708277072,-0.00805362262454929,-0.0584768160098247,-0.0531659230420981
"PubMed Central cites",0.675850101804682,-0.0774558038669959,-0.00778218047541989,0.0239339072671505,0.096496957210429,-0.0507325237919705
"CrossRef cites",0.670288789042517,0.0576160219737075,-0.0108350537307011,-0.0020795687600682,0.00970598064205856,0.0601329650483131
"PDF downloads",-0.0266146837049809,0.49845502965861,0.0188362749699185,0.00493612727388309,0.154814960460617,0.767741588600263
"HTML pageviews",0.0372107417247898,0.927926730452061,-0.0616538947440552,-0.00784448629115554,-0.0412078638711694,0.420649814661123
"Mendeley saves",-0.038388808457309,0.0403524678909285,0.000481619587248683,0.00197289852446785,0.678060343806184,0.158480783598831
"CiteULike saves",-0.0210149324423168,-0.0805479113141271,0.00294572749632099,0.0154596584002317,0.694029241806224,-0.0570003662757349
"PLoS comments",-0.0164660384866826,-0.0208540213437193,-0.0134435382685354,0.923086528715896,0.0178688416571467,-0.00398252840654359
"PLoS comment responses",-0.0121248438108481,0.0219246672089899,0.0129504712153198,0.686749862761151,-0.0246351368846107,0.0212597459950538
"Delicious bookmarks",0.0000367962695442953,0.508500725575612,-0.0276619179007086,-0.0140994631528735,0.192677871667553,-0.0728389482673955
"Blog mentions",0.0863323434508452,0.508306146621249,-0.0940176540174206,0.0502370385476535,0.0355792729786585,-0.103061825769987
"Facebook comments",-0.0286624870275912,0.0504820137786087,0.855061885794482,-0.0189758160488277,-0.0367615904750759,0.027574481060277
"Facebook likes",0.00904784761727867,-0.17518104202633,0.930827730865375,0.0124001397853744,0.0564490396487261,-0.020106807434401
"Facebook shares",0.0116700843154686,0.404019273787614,0.496713400275317,-0.0183910991858734,-0.0439139928073708,0.0116043008438402
"Facebook clicks",0.041653947952667,0.149562584458993,0.385046308023198,0.0393269392024404,-0.020508880062251,-0.0740966151125367
"F1000 rating",0.0259922788955436,0.0564184042052439,0.0094548485913856,0.0280869034533959,0.0319922050615558,0.0752356869999658
"Wikipedia cites",0.0598446884331613,0.403045219043753,-0.00897541407428478,0.0234398509033501,-0.113989853701991,0.0593864046284866
"Twitter mentions",-0.077853828202346,0.504508123253071,0.0792176748414596,-0.0544169224137166,0.0409618338254803,0.00435992303287581
